Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url,languages_missing,Created,Last updated,Stars per contributor,Commits per contributor,Total changes,Community openness,Num languages,Has backend,Has frontend,Has infra,Has data,Stack breadth,Hype score
x1xhlol system-prompts-and-models-of-ai-tools,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus Agent Tools, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",[],26574,99046,425,37,25,0,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,True,2020-05-10,2020-05-11,3809.5,16.3,462,0.07991360691144708,0,False,False,False,False,0,0
Shubhamsaboo awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.","['Python', 'JavaScript', 'TypeScript', 'HTML', 'CSS', 'PLpgSQL']",11299,81474,835,3,57,0,https://github.com/Shubhamsaboo/awesome-llm-apps,False,2021-07-18,2022-07-27,1404.7,14.4,838,0.003575685339690107,6,True,True,False,True,3,0
rasbt LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","['Jupyter Notebook', 'Python']",11975,80351,1001,1,52,0,https://github.com/rasbt/LLMs-from-scratch,False,2021-02-04,2021-11-23,1516.1,18.9,1002,0.0009970089730807576,2,True,False,False,False,1,0
fighting41love funNLP,中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术…,['Python'],15084,77617,159,7,12,0,https://github.com/fighting41love/funNLP,False,2020-12-31,2023-04-16,5970.5,12.2,166,0.041916167664670656,1,True,False,False,False,1,0
hacksider Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,['Python'],11077,76105,492,27,54,8,https://github.com/hacksider/Deep-Live-Cam,False,2022-06-27,2024-12-31,1383.7,8.9,519,0.051923076923076926,1,True,False,False,False,1,0
AntonOsika gpt-engineer,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,"['Python', 'Other']",7344,55089,1648,35,105,21,https://github.com/AntonOsika/gpt-engineer,False,2023-12-10,2024-12-31,519.7,15.5,1683,0.020783847980997625,2,True,False,False,False,1,0
lencx ChatGPT,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)","['Rust', 'TypeScript', 'JavaScript', 'Other']",6200,54341,635,33,29,34,https://github.com/lencx/ChatGPT,False,2019-04-12,2020-02-23,1811.4,21.2,668,0.04932735426008968,4,True,True,False,False,2,0
harry0703 MoneyPrinterTurbo,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,"['Python', 'Other']",6751,48081,460,13,23,9,https://github.com/harry0703/MoneyPrinterTurbo,False,2021-05-23,2022-06-07,2003.4,19.2,473,0.027426160337552744,2,True,False,False,False,1,0
pathwaycom llm-app,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.","['Jupyter Notebook', 'Python', 'Dockerfile']",1225,47707,246,2,25,0,https://github.com/pathwaycom/llm-app,False,2018-11-27,2018-12-10,1834.9,9.5,248,0.008032128514056224,3,True,False,True,False,2,0
microsoft ai-agents-for-beginners,12 Lessons to Get Started Building AI Agents,"['Jupyter Notebook', 'Other']",15700,45915,859,2,60,0,https://github.com/microsoft/ai-agents-for-beginners,False,2022-01-22,2023-06-09,752.7,14.1,861,0.002320185614849188,2,False,False,False,False,0,0
yeongpin cursor-free-vip,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.,"['Python', 'PowerShell', 'Shell', 'Batchfile']",5363,44866,582,16,42,69,https://github.com/yeongpin/cursor-free-vip,False,2023-11-06,2024-06-23,1043.4,13.5,598,0.02671118530884808,4,True,False,True,False,2,0
jeecgboot JeecgBoot,🔥AI低代码平台，助力企业快速实现低代码开发和构建AI应用！ 成熟的AI应用平台：涵盖AI应用、AI模型、AI聊天助手、知识库、AI流程编排、MCP和插件，聊天式业务操作等，兼容多种大模型；提供强大代码生成器：实现前后端一键生成，无需手写代码! 引领AI开发模式：AI生成→在线配置→代码生成→手工合并，解决Java项目80%重复工作，提升效率节省成本，又不失灵活~,"['Java', 'Vue', 'Less', 'TypeScript', 'Python', 'Dockerfile']",15692,44552,2113,17,25,66,https://github.com/jeecgboot/JeecgBoot,False,2018-05-11,2018-09-17,1713.5,81.3,2130,0.007977475363679024,6,True,True,True,False,3,0
microsoft AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!","['Jupyter Notebook', 'Python', 'HTML', 'Vue', 'JavaScript', 'Dockerfile']",8754,44065,868,4,63,0,https://github.com/microsoft/AI-For-Beginners,False,2022-08-13,2024-11-27,688.5,13.6,872,0.004581901489117984,6,True,True,True,False,3,0
GitHubDaily GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",[],4366,43174,96,7,4,0,https://github.com/GitHubDaily/GitHubDaily,True,2020-02-09,2022-07-18,8634.8,19.2,103,0.0673076923076923,0,False,False,False,False,0,0
virattt ai-hedge-fund,An AI Hedge Fund Team,"['Python', 'TypeScript', 'Shell', 'Batchfile', 'CSS', 'Mako']",7556,42521,798,17,32,0,https://github.com/virattt/ai-hedge-fund,False,2024-07-19,2024-08-15,1288.5,24.2,815,0.020833333333333332,6,True,True,True,False,3,0
apachecn ailearning,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,"['Python', 'JavaScript', 'CSS', 'Jupyter Notebook', 'HTML', 'Shell']",11600,41794,243,0,43,2,https://github.com/apachecn/ailearning,False,2022-02-24,2022-04-30,949.9,5.5,243,0.0,6,True,True,True,False,3,0
upscayl upscayl,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.","['TypeScript', 'JavaScript', 'CSS', 'Python', 'Shell']",1961,41499,1113,5,48,29,https://github.com/upscayl/upscayl,False,2024-08-30,2024-12-31,846.9,22.7,1118,0.004468275245755138,5,True,True,True,False,3,0
upstash context7,Context7 MCP Server -- Up-to-date code documentation for LLMs and AI code editors,"['TypeScript', 'JavaScript', 'Dockerfile']",1907,38482,582,11,94,27,https://github.com/upstash/context7,False,2021-04-30,2022-08-02,405.1,6.1,593,0.018518518518518517,3,False,True,True,False,2,0
babysor MockingBird,🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time,"['Python', 'Other']",5273,36795,211,5,40,0,https://github.com/babysor/MockingBird,False,2020-08-13,2021-06-09,897.4,5.1,216,0.02304147465437788,2,True,False,False,False,1,0
PatrickJS awesome-cursorrules,📄 Configuration files that enhance Cursor AI editor experience with custom rules and behaviors,['MDX'],3051,35852,105,11,68,0,https://github.com/PatrickJS/awesome-cursorrules,False,2024-05-13,2024-12-31,519.6,1.5,116,0.09401709401709402,1,False,False,False,False,0,0
Pythagora-io gpt-pilot,The first real AI developer,"['Python', 'TypeScript', 'JavaScript', 'Smarty', 'CSS', 'Shell', 'Other']",3488,33686,2884,1,52,0,https://github.com/Pythagora-io/gpt-pilot,False,2021-03-30,2022-01-10,635.6,54.4,2885,0.0003465003465003465,7,True,True,True,False,3,0
