Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
tensorflow tensorflow,An Open Source Machine Learning Framework for Everyone,"['C++', 'Python', 'MLIR', 'HTML', 'Starlark', 'Go', 'Other']",75030,192703,187918,1866,3775,219,https://github.com/tensorflow/tensorflow
microsoft ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all","['Jupyter Notebook', 'HTML', 'Python', 'Vue', 'JavaScript', 'Dockerfile']",18782,80228,1826,4,134,0,https://github.com/microsoft/ML-For-Beginners
fighting41love funNLP,中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术…,['Python'],15087,77686,159,7,12,0,https://github.com/fighting41love/funNLP
ultralytics yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,"['Python', 'Shell', 'Dockerfile']",17359,56291,2934,14,346,10,https://github.com/ultralytics/yolov5
Avik-Jain 100-Days-Of-ML-Code,100 Days of ML Coding,[],11244,48962,109,36,7,0,https://github.com/Avik-Jain/100-Days-Of-ML-Code
GokuMohandas Made-With-ML,"Learn how to design, develop, deploy and iterate on production-grade ML applications.","['Jupyter Notebook', 'Python', 'Other']",6965,44658,18,5,0,0,https://github.com/GokuMohandas/Made-With-ML
ray-project ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"['Python', 'C++', 'Java', 'TypeScript', 'Starlark', 'Cython', 'Other']",6978,40192,28296,384,1321,120,https://github.com/ray-project/ray
fengdu78 Coursera-ML-AndrewNg-Notes,吴恩达老师的机器学习课程个人笔记,"['HTML', 'Jupyter Notebook', 'Python']",11093,35788,119,14,16,0,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
microsoft qlib,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","['Python', 'Other']",5337,34358,2049,40,143,23,https://github.com/microsoft/qlib
google-ai-edge mediapipe,"Cross-platform, customizable ML solutions for live and streaming media.","['C++', 'Python', 'Starlark', 'Java', 'Objective-C', 'Objective-C++', 'Other']",5637,32306,5131,158,91,63,https://github.com/google-ai-edge/mediapipe
